ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
KEN,Coast,2754462,Total fertility rate 15-49,5.4,1,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_TFR,11763080,I,416003,1416010,Region,Coast,0,,0,1,FEFRTRWTFR,KEDHS1989416003,1989,DHS,,,,,1
KEN,Eastern,2770690,Total fertility rate 15-49,7.2,1,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_TFR,11763080,I,416004,1416030,Region,Eastern,0,,0,1,FEFRTRWTFR,KEDHS1989416004,1989,DHS,,,,,1
KEN,Central,2746546,Total fertility rate 15-49,6,1,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_TFR,11763080,I,416002,1416040,Region,Central,0,,0,1,FEFRTRWTFR,KEDHS1989416002,1989,DHS,,,,,1
KEN,Rift Valley,2770720,Total fertility rate 15-49,7,1,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_TFR,11763080,I,416006,1416050,Region,Rift Valley,0,,0,1,FEFRTRWTFR,KEDHS1989416006,1989,DHS,,,,,1
KEN,Western,2770700,Total fertility rate 15-49,8.1,1,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_TFR,11763080,I,416007,1416070,Region,Western,0,,0,1,FEFRTRWTFR,KEDHS1989416007,1989,DHS,,,,,1
KEN,Nyanza,6165579,Total fertility rate 15-49,6.9,1,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_TFR,11763080,I,416005,1416080,Region,Nyanza,0,,0,1,FEFRTRWTFR,KEDHS1989416005,1989,DHS,,,,,1
KEN,Nairobi,2754472,Total fertility rate 15-49,4.2,1,KE,Kenya,1989,KE1989DHS,FE_FRTR_W_TFR,11763080,I,416001,1416090,Region,Nairobi,0,,0,1,FEFRTRWTFR,KEDHS1989416001,1989,DHS,,,,,1
KEN,Coast,428311,Married women currently using any method of contraception,18.1,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_ANY,32633010,I,416003,1416010,Region,Coast,0,,0,1,FPCUSMWANY,KEDHS1989416003,1989,DHS,350,529,,,1
KEN,Eastern,6764117,Married women currently using any method of contraception,40.2,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_ANY,32633010,I,416004,1416030,Region,Eastern,0,,0,1,FPCUSMWANY,KEDHS1989416004,1989,DHS,804,561,,,1
KEN,Central,3830123,Married women currently using any method of contraception,39.5,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_ANY,32633010,I,416002,1416040,Region,Central,0,,0,1,FPCUSMWANY,KEDHS1989416002,1989,DHS,648,787,,,1
KEN,Rift Valley,3066730,Married women currently using any method of contraception,29.6,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_ANY,32633010,I,416006,1416050,Region,Rift Valley,0,,0,1,FPCUSMWANY,KEDHS1989416006,1989,DHS,1046,742,,,1
KEN,Western,1555437,Married women currently using any method of contraception,13.7,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_ANY,32633010,I,416007,1416070,Region,Western,0,,0,1,FPCUSMWANY,KEDHS1989416007,1989,DHS,711,745,,,1
KEN,Nyanza,5181787,Married women currently using any method of contraception,13.8,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_ANY,32633010,I,416005,1416080,Region,Nyanza,0,,0,1,FPCUSMWANY,KEDHS1989416005,1989,DHS,872,895,,,1
KEN,Nairobi,5779436,Married women currently using any method of contraception,33.5,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_ANY,32633010,I,416001,1416090,Region,Nairobi,0,,0,1,FPCUSMWANY,KEDHS1989416001,1989,DHS,335,519,,,1
KEN,Coast,428312,Married women currently using any modern method of contraception,14.8,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_MOD,32633020,I,416003,1416010,Region,Coast,0,,0,1,FPCUSMWMOD,KEDHS1989416003,1989,DHS,350,529,,,1
KEN,Eastern,6764118,Married women currently using any modern method of contraception,19.5,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_MOD,32633020,I,416004,1416030,Region,Eastern,0,,0,1,FPCUSMWMOD,KEDHS1989416004,1989,DHS,804,561,,,1
KEN,Central,3830124,Married women currently using any modern method of contraception,30.8,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_MOD,32633020,I,416002,1416040,Region,Central,0,,0,1,FPCUSMWMOD,KEDHS1989416002,1989,DHS,648,787,,,1
KEN,Rift Valley,3066731,Married women currently using any modern method of contraception,18.1,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_MOD,32633020,I,416006,1416050,Region,Rift Valley,0,,0,1,FPCUSMWMOD,KEDHS1989416006,1989,DHS,1046,742,,,1
KEN,Western,1555438,Married women currently using any modern method of contraception,10,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_MOD,32633020,I,416007,1416070,Region,Western,0,,0,1,FPCUSMWMOD,KEDHS1989416007,1989,DHS,711,745,,,1
KEN,Nyanza,5181788,Married women currently using any modern method of contraception,10.2,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_MOD,32633020,I,416005,1416080,Region,Nyanza,0,,0,1,FPCUSMWMOD,KEDHS1989416005,1989,DHS,872,895,,,1
KEN,Nairobi,5779437,Married women currently using any modern method of contraception,27.9,1,KE,Kenya,1989,KE1989DHS,FP_CUSM_W_MOD,32633020,I,416001,1416090,Region,Nairobi,0,,0,1,FPCUSMWMOD,KEDHS1989416001,1989,DHS,335,519,,,1
KEN,Coast,1413935,Median age at first marriage [Women]: 25-49,16.5,1,KE,Kenya,1989,KE1989DHS,MA_AAFM_W_M2B,41633090,I,416003,1416010,Region,Coast,0,,0,1,MAAAFMWM2B,KEDHS1989416003,1989,DHS,,,,,1
KEN,Eastern,1429316,Median age at first marriage [Women]: 25-49,19.1,1,KE,Kenya,1989,KE1989DHS,MA_AAFM_W_M2B,41633090,I,416004,1416030,Region,Eastern,0,,0,1,MAAAFMWM2B,KEDHS1989416004,1989,DHS,,,,,1
KEN,Central,1421484,Median age at first marriage [Women]: 25-49,19.4,1,KE,Kenya,1989,KE1989DHS,MA_AAFM_W_M2B,41633090,I,416002,1416040,Region,Central,0,,0,1,MAAAFMWM2B,KEDHS1989416002,1989,DHS,,,,,1
KEN,Rift Valley,1429400,Median age at first marriage [Women]: 25-49,17.8,1,KE,Kenya,1989,KE1989DHS,MA_AAFM_W_M2B,41633090,I,416006,1416050,Region,Rift Valley,0,,0,1,MAAAFMWM2B,KEDHS1989416006,1989,DHS,,,,,1
KEN,Western,1429336,Median age at first marriage [Women]: 25-49,17.5,1,KE,Kenya,1989,KE1989DHS,MA_AAFM_W_M2B,41633090,I,416007,1416070,Region,Western,0,,0,1,MAAAFMWM2B,KEDHS1989416007,1989,DHS,,,,,1
KEN,Nyanza,6165063,Median age at first marriage [Women]: 25-49,16.7,1,KE,Kenya,1989,KE1989DHS,MA_AAFM_W_M2B,41633090,I,416005,1416080,Region,Nyanza,0,,0,1,MAAAFMWM2B,KEDHS1989416005,1989,DHS,,,,,1
KEN,Nairobi,1413942,Median age at first marriage [Women]: 25-49,19.9,1,KE,Kenya,1989,KE1989DHS,MA_AAFM_W_M2B,41633090,I,416001,1416090,Region,Nairobi,0,,0,1,MAAAFMWM2B,KEDHS1989416001,1989,DHS,,,,,1
KEN,Coast,1181414,Infant mortality rate,109,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_IMR,63206030,I,416003,1416010,Region,Coast,14003,Ten years preceding the survey,0,1,CMECMRCIMR,KEDHS1989416003,1989,DHS,,,84,134,1
KEN,Eastern,1920055,Infant mortality rate,43,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_IMR,63206030,I,416004,1416030,Region,Eastern,14003,Ten years preceding the survey,0,1,CMECMRCIMR,KEDHS1989416004,1989,DHS,,,31,55,1
